regime,architecture,mode,sigma_obs,n_samples,n_diverged,rmse_b_mean,rmse_b_std,rmse_b_median,rmse_b_q25,rmse_b_q75,rmse_a_mean,rmse_a_std,rmse_a_median,rmse_a_q25,rmse_a_q75,improvement_bg_mean,improvement_bg_std,improvement_bg_median,improvement_bg_q25,improvement_bg_q75,hausdorff_mean,hausdorff_std,hausdorff_median,hausdorff_q25,hausdorff_q75,divergence_rate
baseline,BASELINE_NO_MEAN,x,0.05,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,15.87661403333193,0.5423470766533408,15.87661403333193,15.684865385502789,16.068362681161066,-1.0967582237926186,0.2661919797266216,-1.0967582237926186,-1.1908713007737015,-1.0026451468115356,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,x,0.1,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,15.827605290652784,0.5671020805479176,15.827605290652784,15.627104427262568,16.028106154043,-1.0900045038515762,0.2618702866782082,-1.0900045038515762,-1.1825896316022895,-0.9974193761008632,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,x,0.5,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,16.168561529578582,0.4860896457053425,16.168561529578582,15.996702887207174,16.340420171949987,-1.1360195383309866,0.279857712968086,-1.1360195383309866,-1.2349641816345327,-1.0370748950274407,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,x,1.0,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,16.047380317906924,0.47981595958540907,16.047380317906924,15.877739758534739,16.21702087727911,-1.120038358752,0.27810857365897984,-1.120038358752,-1.2183645879221914,-1.0217121295818083,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,x2,0.05,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,15.6758684501462,0.34313526891504814,15.6758684501462,15.55455181238915,15.797185087903252,-1.0722942129283495,0.28829959955223033,-1.0722942129283495,-1.1742235138567234,-0.9703649119999753,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,x2,0.1,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,15.606320779308547,0.35491237403364384,15.606320779308547,15.480840306105444,15.73180125251165,-1.0629586840634269,0.2852592868707549,-1.0629586840634269,-1.1638130721348015,-0.962104295992052,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,x2,0.5,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,15.361488329952639,0.36813192549941026,15.361488329952639,15.231334039506693,15.491642620398586,-1.0303949304746232,0.27829612117448704,-1.0303949304746232,-1.1287874677048197,-0.9320023932444267,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,x2,1.0,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,15.71774298528608,0.3262460484880156,15.71774298528608,15.602397588675483,15.833088381896676,-1.078019421905112,0.2914277430896589,-1.078019421905112,-1.1810546885874063,-0.9749841552228176,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,xy,0.05,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,15.908718701750708,0.6174334567223242,15.908718701750708,15.690423009660805,16.12701439384061,-1.1002105296203075,0.25693184205636166,-1.1002105296203075,-1.1910496535307096,-1.0093714057099055,,,,,,0.3333333333333333
baseline,BASELINE_NO_MEAN,xy,0.1,3,1,7.6500494470117,1.2298646809628024,7.6500494470117,7.215226619086386,8.084872274937013,16.02567139618726,0.4032011414861776,16.02567139618726,15.883118265523745,16.16822452685078,-1.1179790264196832,0.2877924480588093,-1.1179790264196832,-1.2197290222180137,-1.0162290306213526,,,,,,0.3333333333333333
