path,regime,mode,arch,sigma,R,rmse_b_mean,rmse_b_std,rmse_a_mean,rmse_a_std,rmse_a_median,rmse_a_q25,rmse_a_q75,improvement_mean,improvement_std,improvement_median,hausdorff_mean,hausdorff_std,hausdorff_median,divergence_rate
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_lstm_n0.05_R0.05.pth,resample,x2,lstm,0.05,0.05,5.442757549661105,2.047233300836362,5.062100584033719,2.1619955295755506,4.732919628823414,3.1664274052456083,5.870462541038803,0.08804226263891339,0.05566662508647715,0.06916007679954214,0.27260216832774553,0.08599601784012186,0.24751707916701893,39.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_mlp_n0.1_R0.1.pth,resample,x2,mlp,0.1,0.1,4.731360147716571,1.6922185187264502,4.308031517663,1.8235178074608287,3.951672864392008,2.811496352862355,4.793077187173765,0.1090236305095009,0.0625305200110537,0.09610767414573382,0.2455191070425531,0.062239487226212004,0.2329473215735716,39.53846153846154
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_mlp_n1.0_R1.0.pth,resample,x,mlp,1.0,1.0,3.826025844310091,0.48477525494571094,3.2687101341342504,0.5031023056058507,3.1954270138508507,2.941749588033156,3.4889008851899046,0.1482804215717554,0.028341367217674534,0.15233709188924655,0.22813616497180159,0.04044437377949685,0.224471936558648,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_lstm_n0.5_R0.5.pth,resample,x2,lstm,0.5,0.5,9.31058122074976,0.6130419750937581,9.57046799457741,0.635618550094687,9.572173114303371,9.080264420947145,10.133653853951346,-0.027887814321284576,0.00450092183872322,-0.028448657684467818,0.4664495170985935,0.013464566989134957,0.46166030800650354,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_gru_n0.05_R0.05.pth,resample,xy,gru,0.05,0.05,3.7049086839933016,0.5564958980039987,3.159468846299558,0.6056222781594232,3.0876989571669773,2.7696436684032992,3.4048912005924343,0.15209570898524366,0.04055452614837425,0.15220386700972238,0.2190713776236781,0.037938030376847565,0.21547761202424795,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_mlp_n0.5_R0.5.pth,resample,xy,mlp,0.5,0.5,4.0223384635455375,0.5278755259987705,3.5488794492435227,0.5543887646182528,3.493183044481988,3.175901623079258,3.7826082292371592,0.12036830173312535,0.027866327619769385,0.11908852248827104,0.21885034504418951,0.03783057964947303,0.21669991505447983,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_gru_n1.0_R1.0.pth,resample,xy,gru,1.0,1.0,4.397707279515367,0.6205367151061425,3.9986812296745273,0.6488374924687519,3.946904338690766,3.5508988438767246,4.23896266999269,0.09325228013126624,0.022434237975042615,0.09464325880778869,0.2223458815787189,0.0384079029856103,0.21944399808171133,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_lstm_n0.1_R0.1.pth,resample,xy,lstm,0.1,0.1,4.105371763512501,0.6889244250118192,3.6403555800963705,0.7310060056333918,3.607592779881318,3.125678102237533,3.908956182184352,0.11793769938106737,0.03154919639199832,0.11576791017026873,0.22267010174648946,0.03814356878360497,0.21979677701812578,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_lstm_n0.05_R0.05.pth,resample,xy,lstm,0.05,0.05,3.8613347206899378,0.5962773570835785,3.3524193352402545,0.6548635480605692,3.2450355569299285,2.9248716454818293,3.651479728142018,0.1368187966221257,0.040949116036916575,0.13432852188732586,0.2224746634683617,0.038023573458387076,0.21869352221972382,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_mlp_n0.05_R0.05.pth,resample,x2,mlp,0.05,0.05,5.3446506147246,1.8319712318854484,4.97455784395774,1.9174432282749838,4.566108333435266,3.4554653109051943,5.544552238543548,0.08121400014499772,0.04000357446629306,0.07359782973740457,0.27109608421602177,0.0840606340861579,0.2446681815811238,38.9375
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_gru_n1.0_R1.0.pth,resample,x,gru,1.0,1.0,3.7986577346314885,0.5047869067322223,3.2318203019891127,0.5203661333110667,3.169502488865405,2.881514852281788,3.4300124594374637,0.152117663854865,0.028107966096123368,0.15712906651109404,0.22563268990989485,0.04074007709144573,0.2222603825362203,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_gru_n1.0_R1.0.pth,resample,x2,gru,1.0,1.0,9.259198932437817,0.6180344774069867,9.52991273244817,0.6436014872243399,9.526833381869896,9.039182271298168,10.096770882023023,-0.029196279548932183,0.004463699101307198,-0.0299588022394675,0.46661870947532286,0.010626738691339436,0.4648848234410681,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_gru_n0.5_R0.5.pth,resample,xy,gru,0.5,0.5,3.73913124632297,0.5305018487419856,3.205344104393284,0.5675104048861173,3.1564896640743383,2.841796538828256,3.417602224293601,0.14662916771939583,0.0349192713970007,0.1513565706011712,0.2192309729273854,0.03800691932999928,0.2164613737320252,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_gru_n0.05_R0.05.pth,resample,x,gru,0.05,0.05,3.9999811558531477,0.49051618817554415,3.475302520234811,0.500660742243424,3.415607241398098,3.13158396508697,3.67548061735281,0.1332218074463712,0.023095950102191155,0.1383224822919566,0.22516998002731,0.04079229176841565,0.22123777921949248,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_mlp_n0.05_R0.05.pth,resample,xy,mlp,0.05,0.05,4.054185721032938,0.856115891803586,3.5868575705569317,0.9389117393229849,3.491384899280245,2.906639967137503,3.8605057652386296,0.12409979773956806,0.04695874731165646,0.11954522067417682,0.22103563288420458,0.03810387691884881,0.217812440657455,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_lstm_n0.1_R0.1.pth,resample,x,lstm,0.1,0.1,3.5788019073298414,0.49395486990450543,2.968326731665043,0.5138633659795951,2.9153597461880816,2.61046203804091,3.154914933453238,0.17423266209506547,0.032675166822237166,0.17838759527007256,0.2265856712030406,0.0409895999373367,0.22276194052520998,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_gru_n0.1_R0.1.pth,resample,x,gru,0.1,0.1,3.809386251486513,0.5088500874753261,3.2563598093383246,0.5307686307185826,3.1838343831892812,2.9028850138190703,3.4796381248908927,0.14824531131699378,0.030093548345252637,0.15328480163414265,0.22722592289914406,0.041245268643276316,0.22360698691503506,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_lstm_n1.0_R1.0.pth,resample,x2,lstm,1.0,1.0,9.232704816542348,0.5983114481856364,9.49188658303492,0.6206603120509596,9.498092263264134,9.018331887228495,10.034242508991472,-0.028047253995025744,0.004663042803661865,-0.02877773945812214,0.47474339409087357,0.014186385520627032,0.4712013417442449,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_mlp_n0.5_R0.5.pth,resample,x2,mlp,0.5,0.5,9.475996422189816,0.7445728168206915,9.724200207436565,0.7843675434975763,9.661184005443108,9.156800393372603,10.390015992562372,-0.0260511464229265,0.006053820783945828,-0.027335893309989,0.46330746729043004,0.01062455119875406,0.4610251832771216,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_lstm_n0.1_R0.1.pth,resample,x2,lstm,0.1,0.1,9.308134045524616,0.6085379031239246,9.575421758429052,0.6320875139233574,9.579947718747295,9.090510458773382,10.137522761207336,-0.028688046415279157,0.004831986087554643,-0.029453682790962055,0.47726362585401355,0.012140199293566203,0.47285790993069376,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_lstm_n1.0_R1.0.pth,resample,x,lstm,1.0,1.0,3.8539406691483866,0.4777460796184858,3.2951099853080774,0.4911783909326965,3.2306893789752404,2.956928945129895,3.5074657783867984,0.14738326159539084,0.026388561840149614,0.15167799543897384,0.22447184647525653,0.040566756844859206,0.22082196943976373,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_gru_n0.1_R0.1.pth,resample,xy,gru,0.1,0.1,3.9907209746363734,0.6522781537399626,3.5077699080228677,0.700506440213656,3.4636076474766737,3.024586857437016,3.720916400408753,0.1258849194897023,0.03489793504197844,0.12671009316041798,0.22074371251542274,0.03808299268629369,0.21821119574893044,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_gru_n0.5_R0.5.pth,resample,x2,gru,0.5,0.5,5.132454228276108,1.9753547588971971,4.7402865115598765,2.091926153602386,4.235516071198658,2.860781569482358,5.4665472419358725,0.09493558399930288,0.05575620828055836,0.08037016118579418,0.2620069570073418,0.0819984992846657,0.23824491026536831,38.705882352941174
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_mlp_n1.0_R1.0.pth,resample,x2,mlp,1.0,1.0,5.512865150366061,1.5824384175316495,5.144546498949276,1.6441325040831292,4.914962300394793,3.76254053424338,5.704051119053801,0.07468206865692871,0.030317462208188397,0.06941713694035377,0.25226026366026233,0.05792553851260107,0.23855554697794473,36.416666666666664
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_mlp_n0.05_R0.05.pth,resample,x,mlp,0.05,0.05,3.968869557329848,0.5031772452526334,3.447054881773297,0.5177924507819522,3.3972531771850862,3.1026895248743425,3.690227859441954,0.13384728821791017,0.025048863948050018,0.1366969180789906,0.22400767307746808,0.041159722517474386,0.22104355595229488,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_gru_n0.1_R0.1.pth,resample,x2,gru,0.1,0.1,9.247650356078909,0.601975886980503,9.51636599273036,0.6257067948226974,9.518832978624221,9.039253257780361,10.064848189700772,-0.02902768732701679,0.0046044821706940145,-0.02986421828301911,0.4722932380614447,0.009945137684065911,0.469814866066497,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_gru_n0.5_R0.5.pth,resample,x,gru,0.5,0.5,3.8379951945164503,0.5172614987688301,3.286164185168744,0.5351339947661822,3.2215711845583557,2.915886299771082,3.504932631265853,0.14675273928677302,0.02795410392167111,0.15154573227658513,0.2267099669907196,0.040824449349867835,0.22270491796226122,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_mlp_n0.5_R0.5.pth,resample,x,mlp,0.5,0.5,4.075860899041497,0.48527011823837013,3.5597814772738574,0.48646805996761233,3.525879482192045,3.2097276720959997,3.754524309364104,0.1282644107557458,0.01927621726217945,0.13300289263679016,0.2250651901180623,0.04137516155073515,0.2215986713358744,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_mlp_n0.1_R0.1.pth,resample,x,mlp,0.1,0.1,3.6582384831552632,0.5029086292973765,3.0862649007155887,0.5272699749575237,3.0198908509287694,2.7522359521498263,3.323342575540512,0.15990150894498062,0.03233146528107533,0.16400142171935744,0.22512107878415674,0.041628282957570796,0.22197890758169214,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_lstm_n1.0_R1.0.pth,resample,xy,lstm,1.0,1.0,4.024277904357138,0.6321764534462193,3.5486072923170844,0.6728084471578225,3.497289588257834,3.089772075836071,3.784945829732517,0.12242306097607203,0.03166477524271229,0.12276070833051242,0.22239874407345578,0.03857773399842947,0.21977526630920172,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x2_gru_n0.05_R0.05.pth,resample,x2,gru,0.05,0.05,5.283587950818915,2.091824791456213,4.894303900184069,2.2138919885411537,4.510874065283778,2.879279399565844,5.755221774410208,0.09465189914611498,0.062413570802923375,0.07258988896942475,0.2753569848597107,0.0901979817135634,0.2482210173369176,39.04761904761905
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_lstm_n0.05_R0.05.pth,resample,x,lstm,0.05,0.05,3.6043811649511848,0.4723252255825318,3.0054376678022403,0.49508719458668615,2.943442067031608,2.6625011662374694,3.229243913922618,0.1695066940092157,0.032960172023574034,0.17472539487389502,0.22728448429045198,0.04090232510925479,0.22360874104332135,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/x_lstm_n0.5_R0.5.pth,resample,x,lstm,0.5,0.5,3.8803082510365483,0.5024497962697518,3.3286844877688013,0.5132702163962831,3.2953746797648384,2.9757264218900636,3.5156778916564857,0.14468435554455042,0.025009121215476,0.14826852735964807,0.22525996464847758,0.04115147728520107,0.22165959023831827,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_mlp_n1.0_R1.0.pth,resample,xy,mlp,1.0,1.0,3.8759916580573957,0.6265498787202152,3.3770492859162213,0.6807778134452563,3.29740285319016,2.938418416554044,3.6367636361437525,0.13393838320226614,0.038438249167026095,0.1348996409867338,0.22252454002739938,0.03760168124816178,0.22085880492764198,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_mlp_n0.1_R0.1.pth,resample,xy,mlp,0.1,0.1,4.0753317681770795,0.5877119254413483,3.6117646460910877,0.6294627698709347,3.573992362650518,3.2267585799130907,3.9260546698347114,0.1173865852424466,0.03176217779518196,0.11479476758721638,0.2230506939695833,0.03825273305963983,0.22013142581249306,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/resample /run_20251008_134240 /models/xy_lstm_n0.5_R0.5.pth,resample,xy,lstm,0.5,0.5,4.105043481800185,0.5495024457170112,3.6544500953861903,0.5937758115747517,3.542210405974788,3.2865720432663115,3.938658403351437,0.11284151480309162,0.03216890035633106,0.10927416993634638,0.2227601005666667,0.03811924656674669,0.21968915107460357,
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x2_lstm_n0.05_R0.05.pth,fixedmean,x2,lstm,0.05,0.05,84.33274915826041,197.3937687659988,86.75705942404738,202.12812282392414,47.4482601545385,37.86212655060747,61.41375092460712,-0.02858028679359367,0.008430347071347242,-0.029186251591678637,11.803021987298775,45.150832640516526,3.1894865737784164,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x2_mlp_n0.1_R0.1.pth,fixedmean,x2,mlp,0.1,0.1,48.1434533392973,17.79265601700877,48.90997845136969,17.143019558875086,47.00418636707082,39.730811105836636,55.40368836669887,-0.021892938899159636,0.021000132075955448,-0.02783231402266656,5.763641418513071,3.78539354519034,4.324134362220487,2.42
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x_mlp_n1.0_R1.0.pth,fixedmean,x,mlp,1.0,1.0,34310.46896338522,71951.5176492975,33022.287563295955,69304.43770648634,492.1985758181116,294.58091413062897,1184.1389658394453,0.026025546193381058,0.024184169793151303,0.028915958900473968,5475.049955488965,10856.80452383662,62.83307055692419,7.9
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x2_lstm_n0.5_R0.5.pth,fixedmean,x2,lstm,0.5,0.5,41.0428928003275,17.210336534916888,41.70233518509293,17.11009284841251,35.02701620959829,31.528407044777207,47.259344470269156,-0.017914391165156595,0.013019067155251293,-0.017013924410281885,3.0898136232420508,2.6933012650292354,2.5610863163936277,0.0
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/xy_gru_n0.05_R0.05.pth,fixedmean,xy,gru,0.05,0.05,85.55194754714181,21.479489490595117,86.24513094971891,20.958810162316688,79.38956305160157,74.74107801231379,89.39462794536209,-0.009782800770891515,0.007092774027569916,-0.011355893381852271,9.247272748065306,3.9165104089914347,7.688934399294987,1.34
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/xy_mlp_n0.5_R0.5.pth,fixedmean,xy,mlp,0.5,0.5,143.86501791840783,289.5692194191107,139.5163332960628,271.9571504007604,67.63293425567645,40.207603160594054,134.202064762238,0.010417307616767768,0.022377009260803167,0.02119065978669228,18.498127843939105,51.16481331926612,8.593653855065376,7.88
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/xy_gru_n1.0_R1.0.pth,fixedmean,xy,gru,1.0,1.0,25.908325218029887,2.406116651535435,25.909668351524683,2.3047047582243043,25.713203440713144,24.046158233380645,26.67703591068319,-0.00039678241156508966,0.004310412824547359,-0.00044640335026782804,1.4753246613602728,0.14596213602724606,1.4960252029789158,3.62
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/xy_lstm_n0.1_R0.1.pth,fixedmean,xy,lstm,0.1,0.1,97194.06355773969,85320.38837080436,100152.83606771026,88187.74254716668,89801.63332437284,5080.297855121908,165991.92269856713,-0.019597002543969108,0.018991983943491778,-0.028892797622107648,16877.3801670591,12762.245836452415,21037.17436061924,0.92
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/xy_lstm_n0.05_R0.05.pth,fixedmean,xy,lstm,0.05,0.05,26.140562133177905,1.4013833186967224,26.160865146798475,1.465567060723381,25.971758133842126,24.9018571671148,26.82851981470293,-0.0006886535703850904,0.008173840849853254,0.0024656107065995046,1.4346356790453847,0.05869685419663113,1.4232423332755573,2.7
/home/runner/work/Data-Assimilation/Data-Assimilation/results/fixedmean /run_20251008_133752 /models/x2_mlp_n0.05_R0.05.pth,fixedmean,x2,mlp,0.05,0.05,18.351587006867863,6.413580095638258,19.15871996857782,6.753500425964779,18.254538801093453,11.60440516207695,24.374336018946522,-0.04149558441571045,0.01846246731207077,-0.04706287282580446,1.3531319584017931,0.806757185975726,1.4311300487574843,11.64
