mode,model,sigma,mean_rmse_b,mean_rmse_a,improvement_pct
x2,gru,0.05,9.453075201946643,9.707135503011873,-2.687594202285756
x2,gru,0.1,6.30120379670868,5.970406114469652,5.249753744067343
x2,gru,0.5,9.43424448942924,9.68867044774618,-2.69683447998423
x2,gru,1.0,6.144397197631337,5.805533276487902,5.51500676541657
x2,lstm,0.05,9.442937523904602,9.699331261807352,-2.7151904505742435
x2,lstm,0.1,9.450411475801493,9.708033376575866,-2.7260389818372825
x2,lstm,0.5,9.43015978519035,9.68500680123391,-2.7024676341517244
x2,lstm,1.0,9.440985510691174,9.697972414719267,-2.7220347254751665
xy,gru,0.05,6.014430774100994,5.690147341574812,5.391756006613186
xy,gru,0.1,5.944225284015046,5.611195669909558,5.602573896400866
xy,gru,0.5,5.91150583293599,5.577596549580318,5.648464076535202
xy,gru,1.0,5.820632966326813,5.467750638288775,6.062610889219645
xy,lstm,0.05,5.896057802803972,5.557793972246176,5.737118628601779
xy,lstm,0.1,6.0708243158636535,5.752119399899379,5.249779920849754
xy,lstm,0.5,6.050273132067627,5.732742895807441,5.248196723172943
xy,lstm,1.0,6.114015056109677,5.794985492773515,5.218004215042928
x,gru,0.05,5.701454578747135,5.304405759053159,6.96399163073268
x,gru,0.1,5.717086391647951,5.32343578515186,6.885510897144602
x,gru,0.5,5.719716471859627,5.3318610328196305,6.781025614612234
x,gru,1.0,5.619750940085611,5.2215049046870785,7.086542440125747
x,lstm,0.05,5.673084464934824,5.274777052366105,7.021002684353574
x,lstm,0.1,5.7139261277257605,5.317883978132049,6.931173780353767
x,lstm,0.5,5.679938589739271,5.2835458685508945,6.978820544018804
x,lstm,1.0,5.774341912085604,5.398450027500346,6.509692191910597
