mode,model,sigma,mean_rmse_b,mean_rmse_a,improvement_pct
x,baseline_no_mean,0.05,8.519695102862327,16.260111328990206,-90.85320698304524
x,baseline_no_mean,0.1,8.519695102862327,16.228607017433216,-90.48342483501501
x,baseline_no_mean,0.5,8.519695102862327,16.512278814321395,-93.81302517238946
x,baseline_no_mean,1.0,8.519695102862327,16.3866614366513,-92.33859004116167
xy,baseline_no_mean,0.05,8.519695102862327,16.345310085930514,-91.85322817995032
xy,baseline_no_mean,0.1,8.519695102862327,16.310777657514294,-91.44790348230218
xy,baseline_no_mean,0.5,8.519695102862327,16.069840467312254,-88.61990098581504
xy,baseline_no_mean,1.0,8.519695102862327,16.36671614168822,-92.10448195721888
x2,baseline_no_mean,0.05,8.519695102862327,15.9185017256603,-86.84356110716011
x2,baseline_no_mean,0.1,8.519695102862327,15.857281725714751,-86.12499079206772
x2,baseline_no_mean,0.5,8.519695102862327,15.621796910844534,-83.36098560142302
x2,baseline_no_mean,1.0,8.519695102862327,15.94843377850727,-87.19488885405231
